Nama,Penghasilan(jt),Jumlah Anggota Keluarga,Tingkat Pendidikan,Dinding Rumah,Lantai Rumah,Atap Rumah,Sumber Penerangan(VA),Luas Lantai Rumah(m2),Sumber Mata Air,Pengeluaran Kebutuhan Pangan,Pengobatan Tenaga Medis,Pembelian Pakaian(/tahun),Kecamatan
"Sutan Jagaraga Kuswandari, S.Psi",3,2,S3,Kayu,Kayu,Genteng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Sarah Laksita,7,4,S2,Kayu,Semen,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
"Elma Yulianti, S.IP",5,1,Tidak Sekolah,Kayu,Keramik,Asbes,1.3,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Ridwan Rajata,8,4,SMP,Bambu,Keramik,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Dr. Laras Handayani,9,6,SMA,Tembok,Keramik,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"R. Gantar Wibisono, S.I.Kom",5,1,S3,Bambu,Kayu,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Septi Haryanti,7,0,SMA,Kayu,Kayu,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Puti Mutia Wasita,3,2,SD,Bambu,Keramik,Seng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Intan Mayasari,5,2,SMP,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Ophelia Maheswara,5,5,S2,Tembok,Kayu,Rumbia,3.5,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
Dian Rahmawati,6,5,SMP,Tembok,Keramik,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Raina Zulaika,1,5,SMA,Tembok,Kayu,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Drs. Himawan Mandala, S.Pd",10,5,S2,Kayu,Tanah,Genteng,0.45,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Azalea Sinaga,1,6,S3,Kayu,Semen,Asbes,0.45,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
R. Candra Setiawan,8,1,SMP,Tembok,Kayu,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Salsabila Prakasa,6,3,S2,Tembok,Keramik,Seng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
"drg. Damar Winarno, M.Kom.",5,7,S2,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Ir. Samiah Hasanah,5,0,S3,Bambu,Semen,Seng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Najwa Habibi,10,4,SMP,Tembok,Keramik,Rumbia,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"Jasmin Handayani, S.H.",2,4,D3,Tembok,Tanah,Seng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"Hj. Ajeng Mahendra, S.Farm",5,0,Tidak Sekolah,Kayu,Kayu,Genteng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Wulan Nashiruddin,6,7,Tidak Sekolah,Bambu,Semen,Asbes,3.5,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
H. Bahuraksa Sitompul,8,5,SMP,Bambu,Kayu,Genteng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"Kemal Mayasari, S.I.Kom",6,5,Tidak Sekolah,Bambu,Kayu,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
drg. Elisa Adriansyah,2,3,Tidak Sekolah,Bambu,Kayu,Genteng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Lukita Suryatmi,8,6,S1,Kayu,Semen,Seng,1.3,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
"Ir. Julia Adriansyah, S.Ked",1,7,SMP,Tembok,Keramik,Rumbia,6.6,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Nadia Susanti,2,5,SMP,Bambu,Kayu,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Gadang Rahayu,9,5,S1,Kayu,Kayu,Asbes,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Wardi Waskita,5,5,SMA,Bambu,Kayu,Seng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Harsaya Yulianti,10,5,SMP,Bambu,Tanah,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan A
Dr. Edi Laksita,1,3,D3,Tembok,Semen,Rumbia,6.6,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Cornelia Yuliarti,8,6,S1,Bambu,Keramik,Asbes,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
"drg. Heru Melani, M.Farm",10,2,D3,Bambu,Kayu,Genteng,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Sabri Uyainah,10,2,SD,Bambu,Keramik,Seng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Tugiman Pradana,5,3,SMA,Tembok,Keramik,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"Farah Nurdiyanti, S.E.",10,4,S1,Kayu,Kayu,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
"Harjasa Agustina, S.I.Kom",1,0,S1,Kayu,Keramik,Genteng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"Yani Najmudin, S.I.Kom",5,7,SMA,Bambu,Semen,Seng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Jagapati Yuliarti, M.Farm",4,4,S2,Tembok,Tanah,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"R.M. Teguh Utami, M.Farm",2,7,Tidak Sekolah,Tembok,Keramik,Asbes,1.3,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"R.A. Karimah Rahimah, M.Pd",2,2,Tidak Sekolah,Tembok,Tanah,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Dian Saputra, S.E.I",6,5,SMP,Tembok,Kayu,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan A
"Yunita Suryono, M.Farm",7,3,D3,Tembok,Kayu,Asbes,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan A
Cayadi Yuniar,2,4,S2,Kayu,Semen,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"R.M. Daliono Wibisono, S.Pd",3,0,Tidak Sekolah,Tembok,Semen,Asbes,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
"Puti Widya Usada, S.I.Kom",9,1,SMP,Bambu,Keramik,Seng,1.3,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
"Dr. Aisyah Sitompul, M.Kom.",9,1,Tidak Sekolah,Bambu,Semen,Rumbia,3.5,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Dr. Syahrini Laksmiwati,9,3,Tidak Sekolah,Bambu,Tanah,Genteng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Drs. Ophelia Widodo,5,2,S3,Kayu,Kayu,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Tgk. Jane Wahyudin,3,4,D3,Kayu,Tanah,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Titi Fujiati,9,7,SMP,Kayu,Tanah,Genteng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Karta Namaga,7,1,Tidak Sekolah,Tembok,Semen,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Patricia Utami,6,4,SD,Tembok,Tanah,Seng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Lidya Mustofa,5,2,SD,Kayu,Semen,Seng,6.6,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Zelaya Maryadi,2,3,S3,Tembok,Keramik,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Taswir Laksmiwati,7,3,SMP,Bambu,Semen,Genteng,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Unjani Pratama,4,3,SMA,Kayu,Semen,Genteng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Nrima Prayoga,9,2,S1,Tembok,Semen,Genteng,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Wirda Waskita,7,0,S2,Kayu,Semen,Seng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Samsul Sitompul,8,3,SMA,Tembok,Tanah,Seng,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Shania Nasyiah,3,2,S1,Kayu,Keramik,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Malika Hassanah,6,7,SMA,Bambu,Keramik,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Hamzah Dabukke, S.Sos",2,0,D3,Kayu,Kayu,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Cahyono Sinaga,9,1,S2,Tembok,Semen,Seng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Samiah Hidayanto,5,4,Tidak Sekolah,Kayu,Keramik,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Hasan Mardhiyah,6,2,SMA,Tembok,Tanah,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Gatot Farida, S.I.Kom",5,2,SMA,Kayu,Kayu,Seng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Cut Amelia Waskita, S.T.",10,4,SD,Kayu,Kayu,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Ira Usada,1,5,Tidak Sekolah,Tembok,Semen,Genteng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Olga Thamrin,5,4,S3,Bambu,Tanah,Asbes,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
"Cahyo Puspita, S.Farm",10,6,SMA,Bambu,Kayu,Asbes,6.6,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Garda Sudiati, M.TI.",4,2,SMA,Bambu,Semen,Seng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Sabrina Kusmawati,9,2,S1,Bambu,Kayu,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Amelia Wijayanti,5,6,SMP,Bambu,Kayu,Asbes,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Prakosa Pangestu,3,2,SMP,Bambu,Keramik,Seng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Silvia Hardiansyah,9,1,Tidak Sekolah,Kayu,Semen,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Gilda Setiawan,5,4,S3,Kayu,Keramik,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Melinda Wahyuni,1,0,S2,Kayu,Tanah,Genteng,1.3,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Banawa Anggraini,1,2,SMA,Bambu,Tanah,Rumbia,1.3,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Jumadi Saputra,9,5,S1,Bambu,Semen,Genteng,6.6,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
Ir. Heryanto Oktaviani,6,4,S1,Tembok,Keramik,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Oni Waskita,6,3,Tidak Sekolah,Bambu,Semen,Seng,6.6,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Limar Laksita,6,2,S1,Bambu,Tanah,Seng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Nova Astuti,7,5,SD,Tembok,Semen,Seng,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Hilda Budiyanto,2,1,SMP,Tembok,Tanah,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Hj. Maria Santoso,6,4,S2,Bambu,Semen,Genteng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Genta Maryati,7,7,SD,Kayu,Semen,Seng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Kasiyah Kuswandari,1,5,SD,Tembok,Tanah,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Uda Simbolon,3,5,D3,Tembok,Tanah,Seng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Cut Gilda Purwanti,7,7,SD,Kayu,Tanah,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan C
"Maman Haryanto, M.M.",9,1,SD,Tembok,Kayu,Seng,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Hairyanto Nainggolan,10,2,S2,Kayu,Tanah,Seng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"H. Kasim Maulana, M.TI.",7,7,S3,Bambu,Tanah,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Pia Dabukke,6,3,Tidak Sekolah,Tembok,Keramik,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
"Asman Novitasari, M.Kom.",3,3,S1,Tembok,Keramik,Seng,1.3,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
"Dr. Bahuraksa Pratiwi, S.E.",9,5,Tidak Sekolah,Bambu,Semen,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Simon Nashiruddin,2,3,Tidak Sekolah,Bambu,Tanah,Asbes,6.6,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Sutan Dirja Zulaika,3,6,S2,Bambu,Tanah,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Ciaobella Irawan,1,4,SMA,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Warsa Saragih, M.TI.",6,2,D3,Tembok,Tanah,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan B
dr. Kiandra Mandasari,8,0,SMA,Kayu,Semen,Rumbia,1.3,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Karimah Mayasari,4,7,SMP,Kayu,Keramik,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Anggabaya Zulaika,9,1,S1,Kayu,Keramik,Rumbia,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Lurhur Natsir, M.TI.",6,1,SMP,Tembok,Keramik,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Nilam Halimah,3,7,D3,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Raisa Natsir,3,2,SMP,Kayu,Semen,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Ir. Nrima Purwanti,6,6,SMA,Tembok,Kayu,Seng,1.3,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Cakrabirawa Sitompul,9,5,S1,Tembok,Kayu,Genteng,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"H. Labuh Prakasa, M.Ak",5,0,S1,Bambu,Tanah,Genteng,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
drg. Hesti Wastuti,10,3,S1,Bambu,Semen,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Ulya Hutagalung,3,1,SD,Bambu,Keramik,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Carla Prasetya,1,0,S3,Kayu,Tanah,Asbes,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Gangsa Safitri,3,7,SMA,Tembok,Semen,Asbes,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Caturangga Tampubolon,7,6,SMA,Bambu,Kayu,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Calista Hakim,2,6,S1,Tembok,Tanah,Rumbia,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Ella Sihombing,4,2,D3,Tembok,Tanah,Seng,3.5,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Prasetyo Natsir,2,0,S3,Bambu,Kayu,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Lanjar Hastuti, S.Pt",7,2,Tidak Sekolah,Kayu,Kayu,Rumbia,1.3,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Nasim Suryatmi, S.IP",10,6,D3,Tembok,Tanah,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"drg. Reza Maulana, S.Psi",9,6,D3,Tembok,Semen,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan C
Prasetya Siregar,7,1,D3,Tembok,Semen,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Saka Sihombing,8,7,SMA,Bambu,Kayu,Seng,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan D
"Candrakanta Rahmawati, S.E.",5,3,S2,Kayu,Semen,Genteng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Yessi Hidayanto,9,0,SMP,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
Jinawi Nugroho,2,7,SMP,Tembok,Keramik,Asbes,6.6,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Titin Rajata,1,1,SD,Tembok,Tanah,Genteng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Kamidin Kusumo,1,6,SD,Tembok,Tanah,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Wulan Wasita,6,6,D3,Bambu,Tanah,Rumbia,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Gabriella Nasyiah,7,0,S1,Kayu,Tanah,Seng,0.45,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Ika Hartati,4,4,S3,Tembok,Kayu,Asbes,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Lurhur Permadi,4,6,SMP,Kayu,Tanah,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Kartika Pratiwi,7,1,Tidak Sekolah,Kayu,Keramik,Genteng,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
Omar Mahendra,8,7,Tidak Sekolah,Kayu,Tanah,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Daryani Simanjuntak,3,1,S2,Tembok,Semen,Seng,1.3,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
T. Bala Wahyudin,5,4,S1,Kayu,Kayu,Seng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Banawa Riyanti,6,6,D3,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"Lala Halimah, S.IP",8,4,S2,Bambu,Semen,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Xanana Melani,8,6,SD,Kayu,Keramik,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
drg. Sidiq Prasetya,1,1,S1,Kayu,Keramik,Asbes,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"R. Mujur Anggraini, S.T.",4,0,S1,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
R.M. Cawisadi Safitri,7,7,S1,Bambu,Semen,Asbes,1.3,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
Paiman Permata,3,4,SMA,Bambu,Tanah,Asbes,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
